Tech_ID,Depot_Assigned,Years of Exp,SkillSet,Rate per hour
T2680,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T2681,"8W7R+Q6G, MG Rd, Gubbi, Karnataka 572216, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2682,"X6MC+58Q, Shiggaon, Karnataka 581205, India",1,Equipment installation,Rs.500
T2683,"VP23+JGF, Jai Bheem Nagar, Indira Nagar, Bhadravathi, Karnataka 577301, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2684,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585170",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2685,"JM35+VJP, Karatagi, Karnataka 583229, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2686,"PXQG+6GW, Gajendragad, Karnataka 582114, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2687,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T2688,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585386",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2689,"216, 2nd H Main Rd, East of NGEF Layout, Bennigana Halli, Bengaluru, Karnataka 560093",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2690,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2691,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585540",1,Equipment installation,Rs.500
T2692,"6JQ2+VQ6, Hukkeri, Karnataka 591309, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2693,"3QMW+QV2, SH 70, Karnad, Mulki, Karnataka 574154, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2694,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T2695,"CCJM+5GV, Unnamed Road, Annigeri, Karnataka 582201, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2696,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",1,Equipment installation,Rs.500
T2697,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2698,"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2699,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T2700,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T2701,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",4,Equipment installation,Rs.500
T2702,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2703,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2704,"HRWX+RQV, Somwarpet, Karnataka 571236, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2705,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2706,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",2,Equipment installation,Rs.500
T2707,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",2,Equipment installation,Rs.500
T2708,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2709,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",1,Equipment installation,Rs.500
T2710,"5RX2+33F, Court Rd, Virajpet, Karnataka 571218, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2711,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",4,Equipment installation,Rs.500
T2712,"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2713,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",2,Equipment installation,Rs.500
T2714,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2715,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2716,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T2717,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T2718,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2719,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T2720,"CJ44+289, Maruthi Nagar, Kampli, Karnataka 583132, India",1,Equipment installation,Rs.500
T2721,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585379",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2722,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2723,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T2724,"H93P+R8J, Kurunjibhag, Sulya, Karnataka 574327, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2725,"H955+2CQ, hubli solalapur road, Navalgund, Karnataka 582208, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2726,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T2727,"5F9M+F2G, Joida, Karnataka 581186, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2728,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T2729,"RPJ5+46G, Near Shivaji Chowk, Shahu Nagar, Vijayapura, Karnataka 586105",1,Equipment installation,Rs.500
T2730,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2731,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585448",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2732,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2733,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T2734,"X2XR+CW6, Manvi, Karnataka 584123, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2735,"88, Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560122",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2736,"X2FR+8FJ, TDB Road, Mundgod, Karnataka 581349, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2737,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2738,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2739,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2740,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2741,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2742,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2743,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T2744,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585143",1,Equipment installation,Rs.500
T2745,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T2746,"Yelburga, Koppal SH-129, Chikkahesarur Mundaragi Road, Koppal, Karnataka 583236, India",4,Equipment installation,Rs.500
T2747,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585135",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2748,"GX2Q+FVF, Dyampur, Karnataka 583253",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2749,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",2,Equipment installation,Rs.500
T2750,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2751,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2752,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2753,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2754,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2755,"Q458+84P, Savadatti Yallamma, Karnataka 591126, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2756,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2757,"H93P+R8J, Kurunjibhag, Sulya, Karnataka 574327, India",4,Equipment installation,Rs.500
T2758,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2759,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2760,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2761,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",3,Equipment installation,Rs.500
T2762,"5R8C+F2 Gokak, Karnataka, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2763,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2764,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2765,"FW99+HFM, M B Kere, Jalinagar, Davanagere, Karnataka 577001, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2766,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2767,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2768,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2769,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T2770,"WMV4+7WC, Maski, Karnataka 584124, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2771,"Q9QX+W4Q, PB Rd, Vidya Nagar, Haveri, Karnataka 581110, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2772,"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2773,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2774,"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",4,Equipment installation,Rs.500
T2775,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T2776,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T2777,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585330",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2778,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585383",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2779,"CGF6+6J5, Rattihalli, Karnataka 581123",3,Equipment installation,Rs.500
T2780,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2781,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2782,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T2783,"Yelburga, Koppal SH-129, Chikkahesarur Mundaragi Road, Koppal, Karnataka 583236, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2784,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2785,"WMV4+7WC, Maski, Karnataka 584124, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2786,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T2787,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2788,"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",1,Equipment installation,Rs.500
T2789,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2790,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585237",4,Equipment installation,Rs.500
T2791,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2792,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T2793,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2794,"SH 17
Maruthi Extension
Malur, Karnataka 563130
India",1,Equipment installation,Rs.500
T2795,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585236",3,Equipment installation,Rs.500
T2796,"H955+2CQ, hubli solalapur road, Navalgund, Karnataka 582208, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2797,"JM35+VJP, Karatagi, Karnataka 583229, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2798,"JRCG+HH7, Sirsi, Karnataka 581401, India",4,Equipment installation,Rs.500
T2799,"CPGQ+GJW, Alnavar, Karnataka 581103, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2800,"Q458+84P, Savadatti Yallamma, Karnataka 591126, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2801,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2802,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2803,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2804,"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560267",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2805,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2806,"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560124",2,Equipment installation,Rs.500
T2807,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585132",2,Equipment installation,Rs.500
T2808,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2809,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T2810,"RV96+FV6, Bailhongal, Karnataka 591102, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2811,"Public Ground, Laksmi shiva talkies road, traffic police station road, near, Old Office Road, B.T.Patil Nagar, Koppal, Karnataka 583231, India",2,Equipment installation,Rs.500
T2812,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2813,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2814,"765X+8HP, Kundgol, Karnataka 581113, India",1,Equipment installation,Rs.500
T2815,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",2,Equipment installation,Rs.500
T2816,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2817,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2818,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2819,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2820,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585235",2,Equipment installation,Rs.500
T2821,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",3,Equipment installation,Rs.500
T2822,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T2823,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2824,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T2825,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T2826,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",3,Equipment installation,Rs.500
T2827,"W6FM+JP8, HANIF CHATTARKI Rd, Sindagi, Karnataka 586128, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2828,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",2,Equipment installation,Rs.500
T2829,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585256",1,Equipment installation,Rs.500
T2830,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T2831,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",4,Equipment installation,Rs.500
T2832,"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560161",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2833,"Mini Vidhana Soudha, Kolar Road Near, SH 99, Srinivaspur, Karnataka 563135, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2834,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T2835,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",3,Equipment installation,Rs.500
T2836,"X63F+PJR, Magadi Rural, Karnataka 562120, India",2,Equipment installation,Rs.500
T2837,"233X+7WG, BM Rd, Ammeer Mohalla, Hassan, Karnataka 573201, India",3,Equipment installation,Rs.500
T2838,"HRWX+RQV, Somwarpet, Karnataka 571236, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2839,"M624+HMR, SH17, Channapatna, Karnataka 562160, India",1,Equipment installation,Rs.500
T2840,"PXQG+6GW, Gajendragad, Karnataka 582114, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2841,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",3,Equipment installation,Rs.500
T2842,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2843,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2844,"HRWX+RQV, Somwarpet, Karnataka 571236, India",4,Equipment installation,Rs.500
T2845,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T2846,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T2847,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T2848,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2849,"JM35+VJP, Karatagi, Karnataka 583229, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2850,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2851,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2852,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T2853,"PXQG+6GW, Gajendragad, Karnataka 582114, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2854,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T2855,"2Q4F+6G4, Jevargi, Karnataka 585310, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2856,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T2857,"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560141",2,Equipment installation,Rs.500
T2858,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T2859,"7C26+6VG, Aurad Main Rd, Aurad, Karnataka 585326, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2860,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2861,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2862,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585435",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2863,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2864,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2865,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2866,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",2,Equipment installation,Rs.500
T2867,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2868,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T2869,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",4,Equipment installation,Rs.500
T2870,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T2871,"834/779, SH 9, Gauribidanur, Karnataka 561208, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T2872,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T2873,"FW99+HFM, M B Kere, Jalinagar, Davanagere, Karnataka 577001, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2874,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",3,Equipment installation,Rs.500
T2875,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T2876,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",4,Equipment installation,Rs.500
T2877,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T2878,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
